Date,Price,Open,High,Low,Vol.
06-18-2018,"22,835.00","22,816.50","22,836.00","22,816.50",
06-15-2018,"22,815.00","22,814.00","22,817.50","22,814.00",
06-14-2018,"22,812.00","22,814.50","22,814.50","22,808.00",
06-13-2018,"22,810.00","22,814.50","22,819.50","22,812.00",
06-12-2018,"22,812.00","22,812.00","22,818.50","22,805.50",
06-11-2018,"22,814.00","22,815.50","22,816.50","22,814.50",
06-08-2018,"22,790.00","22,795.00","22,797.50","22,793.00",
06-07-2018,"22,801.00","22,806.00","22,807.50","22,801.50",
06-06-2018,"22,805.00","22,829.50","22,829.50","22,806.00",
06-05-2018,"22,829.00","22,824.50","22,829.50","22,813.50",
06-04-2018,"22,826.00","22,792.00","22,828.00","22,792.00",
06-01-2018,"22,796.00","22,792.00","22,802.00","22,789.50",
05-31-2018,"22,804.00","22,813.50","22,817.50","22,775.00",
05-30-2018,"22,850.00","22,868.50","22,875.50","22,840.00",
05-29-2018,"22,830.00","22,840.00","22,845.50","22,832.50",
05-28-2018,"22,814.00","22,812.00","22,817.00","22,770.00",
05-25-2018,"22,769.00","22,780.00","22,783.00","22,770.00",
05-24-2018,"22,777.00","22,778.00","22,780.00","22,775.00",
05-23-2018,"22,773.00","22,774.00","22,775.00","22,767.00",
05-22-2018,"22,769.00","22,770.00","22,771.00","22,765.00",
05-21-2018,"22,770.00","22,767.00","22,777.00","22,767.00",
05-18-2018,"22,785.00","22,784.00","22,786.00","22,775.00",
05-17-2018,"22,773.00","22,775.00","22,776.50","22,773.50",
05-16-2018,"22,770.00","22,773.80","22,775.00","22,772.00",
05-15-2018,"22,768.00","22,770.00","22,773.00","22,768.50",
05-14-2018,"22,765.00","22,767.00","22,770.50","22,766.00",
05-11-2018,"22,769.00","22,770.00","22,775.00","22,768.50",
05-10-2018,"22,769.00","22,771.00","22,775.00","22,770.00",
05-09-2018,"22,774.00","22,770.00","22,777.00","22,770.00",
05-08-2018,"22,772.00","22,771.50","22,773.50","22,770.00",
05-07-2018,"22,767.00","22,762.50","22,790.50","22,762.50",
05-04-2018,"22,767.00","22,767.00","22,772.00","22,764.50",
05-03-2018,"22,762.00","22,761.00","22,767.00","22,760.00",
05-02-2018,"22,760.00","22,763.50","22,765.00","22,761.00",
