gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
1637.59998,0.22700,0.10600,0.38600,0.59900,2020-03-23
1637.59998,0.22700,0.10600,0.38600,0.59900,2020-03-24
1637.59998,0.22700,0.10600,0.38600,0.59900,2020-03-25
1684.00000,0.26800,0.10400,0.44800,0.67800,2020-03-26
1672.59985,0.26800,0.15000,0.46800,0.72600,2020-03-27
1674.09985,0.25600,0.19800,0.47100,0.77100,2020-03-28
1739.90002,0.23100,0.23600,0.41100,0.72900,2020-03-29
1739.90002,0.23100,0.23600,0.41100,0.72900,2020-03-30
1739.90002,0.23100,0.23600,0.41100,0.72900,2020-03-31
1739.90002,0.23100,0.23600,0.41100,0.72900,2020-04-01
1749.79993,0.24900,0.23100,0.45500,0.77000,2020-04-02
1759.10010,0.22100,0.20800,0.42200,0.75000,2020-04-03
1729.59998,0.20100,0.15700,0.33900,0.63500,2020-04-04
1722.69995,0.21100,0.14700,0.35200,0.61700,2020-04-05
1690.80017,0.20200,0.12400,0.35800,0.64200,2020-04-06
1690.80017,0.20200,0.12400,0.35800,0.64200,2020-04-07
1690.80017,0.20200,0.12400,0.35800,0.64200,2020-04-08
1703.40002,0.20600,0.10100,0.35000,0.61600,2020-04-09
1678.30005,0.20100,0.10900,0.33100,0.56600,2020-04-10
1727.40002,0.21500,0.10400,0.36400,0.61800,2020-04-11
1733.40002,0.22100,0.10900,0.37000,0.60300,2020-04-12
1724.19995,0.22200,0.12200,0.37500,0.60500,2020-04-13
1724.19995,0.22200,0.12200,0.37500,0.60500,2020-04-14
1724.19995,0.22200,0.12200,0.37500,0.60500,2020-04-15
1712.59985,0.22400,0.11400,0.40500,0.66400,2020-04-16
1710.59998,0.21500,0.10600,0.37700,0.61600,2020-04-17
1713.40002,0.20500,0.10100,0.36700,0.62800,2020-04-18
1694.19983,0.20100,0.10600,0.36600,0.64600,2020-04-19
1700.90002,0.19800,0.10900,0.35300,0.61800,2020-04-20
1700.90002,0.19800,0.10900,0.35300,0.61800,2020-04-21
