"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/1992","91.210","91.150","91.750","91.150","1.99K","-0.14%"
"11/23/1992","91.340","92.000","92.000","91.190","2.55K","-0.43%"
"11/20/1992","91.730","90.130","91.920","90.000","5.25K","1.88%"
"11/19/1992","90.040","90.230","90.480","89.750","2.49K","-0.41%"
"11/18/1992","90.410","90.290","90.790","90.200","1.19K","-0.06%"
"11/17/1992","90.460","90.590","91.200","90.460","4.76K","-0.17%"
"11/16/1992","90.610","89.550","90.750","89.530","1.15K","1.31%"
"11/13/1992","89.440","89.730","89.900","89.180","3.96K","-0.59%"
"11/12/1992","89.970","90.120","90.430","89.950","0.83K","-0.37%"
"11/11/1992","90.300","90.230","90.730","90.110","1.39K","-0.47%"
"11/10/1992","90.730","90.890","91.000","90.440","","-0.10%"
"11/09/1992","90.820","90.500","90.900","90.100","1.39K","0.29%"
"11/06/1992","90.560","89.800","90.600","89.800","","0.62%"
"11/05/1992","90.000","89.380","90.030","89.150","1.77K","0.27%"
"11/04/1992","89.760","89.150","89.780","88.650","","0.44%"
"11/03/1992","89.370","89.540","89.930","88.880","","-0.45%"
"11/02/1992","89.770","88.400","89.880","88.450","4.48K","1.56%"
"10/30/1992","88.390","87.970","88.510","88.000","0.87K","0.26%"
"10/29/1992","88.160","88.310","88.580","87.960","1.11K","-0.54%"
"10/28/1992","88.640","87.650","88.800","87.600","1.57K","1.15%"
"10/27/1992","87.630","88.000","88.580","87.600","3.05K","-0.57%"
"10/26/1992","88.130","87.720","88.650","87.510","1.60K","0.36%"
"10/23/1992","87.810","86.920","88.290","86.520","3.37K","0.95%"
"10/22/1992","86.980","88.150","88.190","86.820","1.80K","-1.08%"
"10/21/1992","87.930","87.540","87.970","87.120","0.01K","0.43%"
"10/20/1992","87.550","86.860","87.980","86.860","1.28K","0.97%"
"10/19/1992","86.710","86.350","86.720","86.030","1.30K","1.06%"
"10/16/1992","85.800","84.950","85.990","84.800","1.91K","1.11%"
"10/15/1992","84.860","84.650","85.150","84.420","0.83K","-0.40%"
"10/14/1992","85.200","85.020","85.480","84.850","1.02K","0.01%"
"10/13/1992","85.190","85.950","86.740","85.010","4.18K","-0.81%"
"10/12/1992","85.890","86.400","86.430","85.750","0.41K","-0.96%"
"10/09/1992","86.720","86.990","87.150","86.250","1.04K","-0.22%"
"10/08/1992","86.910","85.750","86.940","85.650","1.46K","1.51%"
