Date,Price,Open,High,Low,Vol.
03-11-2011,76.77,77.175,77.55,76.66,15.54K
03-10-2011,77.274,76.68,77.355,76.66,36.63K
03-09-2011,76.719,76.9,76.975,76.54,40.78K
03-08-2011,76.8,76.52,76.995,76.425,27.34K
03-07-2011,76.514,76.35,76.57,76.145,25.01K
03-04-2011,76.416,76.51,76.64,76.285,32.46K
03-03-2011,76.495,76.71,76.875,76.375,29.96K
03-02-2011,76.689,77.08,77.21,76.54,32.45K
03-01-2011,77.083,76.855,77.13,76.765,19.64K
02-28-2011,76.921,77.255,77.435,76.78,19.31K
02-25-2011,77.3,77.115,77.46,76.975,17.27K
02-24-2011,77.096,77.28,77.52,77.03,18.51K
02-23-2011,77.444,77.71,77.745,77.295,24.25K
02-22-2011,77.823,77.88,78.39,77.635,26.31K
02-21-2011,77.745,77.71,77.87,77.595,5.14K
02-18-2011,77.72,78.035,78.295,77.57,22.97K
02-17-2011,78.065,78.28,78.41,77.99,23.41K
02-16-2011,78.277,78.59,78.87,78.22,25.52K
02-15-2011,78.66,78.63,78.83,78.395,14.25K
02-14-2011,78.717,78.495,78.98,78.375,15.98K
02-11-2011,78.565,78.23,78.795,78.21,23.14K
02-10-2011,78.327,77.76,78.435,77.75,22.34K
02-09-2011,77.721,78.055,78.185,77.58,22.37K
02-08-2011,78.094,78.135,78.195,77.715,19.61K
02-07-2011,78.122,78.17,78.44,77.94,16.39K
02-04-2011,78.157,77.93,78.325,77.565,26.23K
02-03-2011,77.867,77.225,77.995,77.135,25.19K
02-02-2011,77.278,77.14,77.43,77,16.17K
02-01-2011,77.193,77.76,77.79,77.065,23.58K
01-31-2011,77.865,78.39,78.47,77.665,23.22K
01-28-2011,78.28,77.845,78.425,77.705,25.49K
01-27-2011,77.854,77.855,78.28,77.71,22.37K
01-26-2011,78.035,78.135,78.235,77.81,20.99K
01-25-2011,78.145,78.155,78.57,77.95,21.61K
01-24-2011,78.193,78.3,78.63,77.94,25.05K
01-21-2011,78.37,79.015,79.095,78.01,20.12K
01-20-2011,78.984,78.885,79.34,78.6,24.53K
01-19-2011,78.811,79.12,79.12,78.47,22.27K
01-18-2011,79.16,79.635,79.665,78.755,33.05K
01-17-2011,79.51,79.3,79.765,79.25,7.61K
01-14-2011,79.366,79.415,79.605,78.97,22.72K
01-13-2011,79.406,80.29,80.445,79.21,33.12K
01-12-2011,80.25,81.075,81.145,80.2,33.98K
01-11-2011,81.135,81.265,81.45,81.035,15.64K
01-10-2011,81.163,81.49,81.635,81.115,19.05K
01-07-2011,81.321,81.14,81.455,80.985,29.04K
01-06-2011,81.093,80.57,81.22,80.46,31.38K
01-05-2011,80.538,79.71,80.635,79.71,29.32K
01-04-2011,79.699,79.5,79.775,79.115,15.37K
01-03-2011,79.384,79.31,79.73,79.23,18.71K
12-31-2010,79.288,79.735,79.785,79.025,11.87K
12-30-2010,79.798,79.98,80.025,79.705,12.96K
12-29-2010,80.102,80.715,80.715,79.995,9.27K
12-28-2010,80.67,80.275,80.76,79.89,10.89K
12-27-2010,80.679,80.82,81.01,80.515,5.06K
12-24-2010,80.827,80.827,80.827,80.827,
12-23-2010,80.832,80.975,81.185,80.7,10.15K
12-22-2010,81.073,80.955,81.125,80.625,11.67K
12-21-2010,81.069,80.955,81.185,80.575,14.45K
12-20-2010,80.972,80.75,81.09,80.675,15.73K
12-17-2010,80.752,80.37,81.01,79.895,19.98K
12-16-2010,80.549,80.51,80.76,80.185,17.54K
12-15-2010,80.582,79.86,80.62,79.775,21.55K
12-14-2010,79.69,79.74,79.86,79.145,21.18K
12-13-2010,79.64,80.21,80.295,79.6,1.16K
12-10-2010,80.066,80.13,80.32,79.83,10.83K
12-09-2010,80.085,79.99,80.42,79.68,31.16K
12-08-2010,80.008,79.985,80.425,79.91,39.31K
12-07-2010,79.864,79.745,80.125,79.215,25.47K
12-06-2010,79.599,79.3,80,79.17,22.42K
12-03-2010,79.407,80.31,80.36,79.06,30.86K
12-02-2010,80.336,80.81,81.06,80.1,36.65K
12-01-2010,80.762,81.335,81.435,80.54,32.63K
11-30-2010,81.271,80.91,81.525,80.74,26.48K
11-29-2010,80.902,80.275,81.215,80.15,38.72K
11-26-2010,80.433,79.85,80.6,79.815,12.67K
11-25-2010,79.695,79.885,80.08,79.645,3.16K
11-24-2010,79.939,79.725,80.085,79.465,23.03K
11-23-2010,79.762,78.86,79.825,78.8,31.38K
11-22-2010,78.768,78.35,78.975,78.06,20.33K
11-19-2010,78.594,78.68,78.81,78.245,17.21K
11-18-2010,78.729,79.035,79.12,78.53,20.41K
11-17-2010,79.21,79.395,79.495,78.97,26.80K
11-16-2010,79.333,78.78,79.585,78.445,37.05K
11-15-2010,78.673,78.325,78.86,78.015,29.09K
11-12-2010,78.231,78.265,78.64,77.83,37.50K
11-11-2010,78.356,77.795,78.435,77.585,23.20K
11-10-2010,77.77,77.855,78.34,77.65,35.10K
11-09-2010,77.584,77.38,78.02,76.83,35.10K
11-08-2010,77.164,76.69,77.3,76.515,23.89K
11-05-2010,76.691,75.935,76.785,75.935,24.06K
11-04-2010,76,76.53,76.63,75.76,27.28K
11-03-2010,76.623,76.89,77.375,75.235,41.30K
11-02-2010,76.892,77.385,77.495,76.81,21.30K
11-01-2010,77.481,77.105,77.625,76.965,21.60K
10-29-2010,77.457,77.42,77.96,76.9,20.24K
10-28-2010,77.503,78.205,78.265,77.36,24.75K
10-27-2010,78.377,77.905,78.51,77.76,30.79K
10-26-2010,77.91,77.51,78.04,77.24,23.80K
10-25-2010,77.303,77.55,77.65,76.875,16.34K
10-22-2010,77.685,77.74,77.965,75.85,15.96K
10-21-2010,77.634,77.32,77.87,77.07,29.08K
10-20-2010,77.414,78.59,78.61,77.28,32.41K
10-19-2010,78.421,77.31,78.57,77.13,38.29K
10-18-2010,77.137,77.255,77.865,77.125,20.89K
10-15-2010,77.268,76.975,77.355,76.335,38.80K
10-14-2010,76.881,77.185,77.185,76.475,25.46K
10-13-2010,77.287,77.51,77.54,77.17,21.87K
10-12-2010,77.588,77.815,78.17,77.435,25.45K
10-11-2010,77.664,77.15,77.785,77.05,12.34K
10-08-2010,77.563,77.65,77.99,77.36,29.59K
10-07-2010,77.642,77.705,77.94,77.15,32.06K
10-06-2010,77.62,77.945,78.15,77.52,23.44K
10-05-2010,77.967,78.825,78.9,77.88,26.09K
10-04-2010,78.658,78.24,78.72,78.24,16.31K
10-01-2010,78.313,78.99,79.015,78.22,20.94K
09-30-2010,78.938,78.98,79.25,78.62,32.19K
09-29-2010,78.905,79.165,79.21,78.825,19.50K
09-28-2010,79.212,79.77,80.01,79.055,29.00K
09-27-2010,79.554,79.53,79.755,79.395,13.23K
09-24-2010,79.599,80.44,80.47,79.465,24.91K
09-23-2010,80.247,80.045,80.395,79.915,28.93K
09-22-2010,80.064,80.49,80.505,79.77,22.35K
09-21-2010,80.673,81.565,81.57,80.425,24.05K
09-20-2010,81.582,81.665,81.74,81.255,15.78K
09-17-2010,81.641,81.55,81.77,81.075,15.83K
09-16-2010,81.501,81.73,81.87,81.335,16.97K
09-15-2010,81.751,81.445,81.99,81.33,35.95K
09-14-2010,81.339,82.205,82.295,81.245,32.02K
